bowler,season,bowling_team,matches,balls_bowled,overs_bowled,runs_given,wickets,economy_rate,bowling_average
A Mishra,2023,Lucknow Super Giants,7,114,19.0,149,7,7.84,16.29
A Mishra,2024,Lucknow Super Giants,1,12,2.0,20,1,10.0,12.0
A Mithun,2009,Royal Challengers Bangalore,1,24,4.0,42,0,10.5,
A Mithun,2010,Royal Challengers Bangalore,1,18,3.0,39,1,13.0,18.0
A Mithun,2011,Royal Challengers Bangalore,12,204,34.0,321,5,9.44,40.8
A Mithun,2012,Royal Challengers Bangalore,1,18,3.0,33,0,11.0,
A Mithun,2013,Royal Challengers Bangalore,1,24,4.0,37,1,9.25,24.0
A Nehra,2008,Mumbai Indians,14,269,44.8,348,12,7.76,22.42
A Nehra,2009,Delhi Daredevils,13,306,51.0,346,19,6.78,16.11
A Nehra,2010,Delhi Daredevils,4,84,14.0,96,6,6.86,14.0
A Nehra,2012,Pune Warriors,13,288,48.0,402,11,8.38,26.18
A Nehra,2013,Delhi Daredevils,10,216,36.0,316,11,8.78,19.64
A Nehra,2014,Chennai Super Kings,4,90,15.0,142,8,9.47,11.25
A Nehra,2015,Chennai Super Kings,16,372,62.0,449,22,7.24,16.91
A Nehra,2016,Sunrisers Hyderabad,8,156,26.0,199,9,7.65,17.33
A Nehra,2017,Sunrisers Hyderabad,6,127,21.2,197,8,9.31,15.88
A Nel,2008,Mumbai Indians,1,18,3.0,31,1,10.33,18.0
A Nortje,2020,Delhi Capitals,16,366,61.0,512,22,8.39,16.64
A Nortje,2021,Delhi Capitals,8,182,30.3,187,12,6.16,15.17
A Nortje,2022,Delhi Capitals,6,134,22.3,217,9,9.72,14.89
A Nortje,2023,Delhi Capitals,10,240,40.0,364,10,9.1,24.0
A Nortje,2024,Delhi Capitals,6,132,22.0,294,7,13.36,18.86
A Nortje,2025,Kolkata Knight Riders,2,42,7.0,83,1,11.86,42.0
A Singh,2009,Rajasthan Royals,5,105,17.5,95,9,5.43,11.67
A Singh,2011,Rajasthan Royals,9,171,28.5,215,9,7.54,19.0
A Singh,2012,Rajasthan Royals,9,197,32.8,310,10,9.44,19.7
A Symonds,2008,Deccan Chargers,3,41,6.8,101,0,14.78,
A Symonds,2009,Deccan Chargers,8,144,24.0,160,7,6.67,20.57
A Symonds,2010,Deccan Chargers,16,318,53.0,372,12,7.02,26.5
A Symonds,2011,Mumbai Indians,3,24,4.0,41,1,10.25,24.0
A Uniyal,2010,Rajasthan Royals,2,36,6.0,66,2,11.0,18.0
A Zampa,2016,Rising Pune Supergiants,5,102,17.0,115,12,6.76,8.5
A Zampa,2017,Rising Pune Supergiant,6,119,19.8,163,7,8.22,17.0
A Zampa,2020,Royal Challengers Bangalore,3,66,11.0,92,2,8.36,33.0
A Zampa,2023,Rajasthan Royals,6,132,22.0,188,8,8.55,16.5
A Zampa,2025,Sunrisers Hyderabad,2,48,8.0,94,2,11.75,24.0
AA Chavan,2011,Rajasthan Royals,2,30,5.0,27,0,5.4,
AA Chavan,2012,Rajasthan Royals,8,164,27.3,236,7,8.63,23.43
AA Chavan,2013,Rajasthan Royals,3,54,9.0,63,1,7.0,54.0
AA Jhunjhunwala,2010,Rajasthan Royals,5,37,6.2,69,0,11.19,
AA Jhunjhunwala,2011,Pune Warriors,2,12,2.0,22,0,11.0,
AA Jhunjhunwala,2012,Deccan Chargers,3,36,6.0,38,1,6.33,36.0
AA Kazi,2011,Royal Challengers Bangalore,1,12,2.0,21,0,10.5,
AA Noffke,2008,Royal Challengers Bangalore,1,24,4.0,40,1,10.0,24.0
AB Agarkar,2008,Kolkata Knight Riders,9,156,26.0,207,8,7.96,19.5
AB Agarkar,2009,Kolkata Knight Riders,11,186,31.0,284,6,9.16,31.0
AB Agarkar,2010,Kolkata Knight Riders,7,132,22.0,203,4,9.23,33.0
AB Agarkar,2011,Delhi Daredevils,7,162,27.0,231,8,8.56,20.25
AB Agarkar,2012,Delhi Daredevils,4,86,14.3,134,3,9.35,28.67
AB Agarkar,2013,Delhi Daredevils,4,60,10.0,92,0,9.2,
AB Dinda,2008,Kolkata Knight Riders,12,234,39.0,260,9,6.67,26.0
AB Dinda,2009,Kolkata Knight Riders,8,144,24.0,193,4,8.04,36.0
AB Dinda,2010,Kolkata Knight Riders,7,139,23.2,152,9,6.56,15.44
AB Dinda,2011,Delhi Daredevils,5,102,17.0,152,5,8.94,20.4
AB Dinda,2012,Pune Warriors,7,144,24.0,169,9,7.04,16.0
AB Dinda,2013,Pune Warriors,13,294,49.0,465,16,9.49,18.38
AB Dinda,2014,Royal Challengers Bangalore,9,186,31.0,270,5,8.71,37.2
AB Dinda,2015,Royal Challengers Bangalore,2,30,5.0,62,0,12.4,
AB Dinda,2016,Rising Pune Supergiants,9,183,30.5,231,11,7.57,16.64
AB Dinda,2017,Rising Pune Supergiant,3,60,10.0,119,1,11.9,60.0
AB McDonald,2009,Delhi Daredevils,1,18,3.0,22,0,7.33,
AB McDonald,2010,Delhi Daredevils,4,84,14.0,138,5,9.86,16.8
AB McDonald,2011,Delhi Daredevils,1,12,2.0,23,0,11.5,
AB McDonald,2012,Royal Challengers Bangalore,3,60,10.0,61,5,6.1,12.0
AB McDonald,2013,Royal Challengers Bangalore,1,12,2.0,17,1,8.5,12.0
AC Gilchrist,2013,Kings XI Punjab,1,1,0.2,0,1,0.0,1.0
AC Thomas,2011,Pune Warriors,11,231,38.5,297,11,7.71,21.0
AC Thomas,2012,Pune Warriors,4,84,14.0,109,3,7.79,28.0
AC Voges,2010,Rajasthan Royals,7,54,9.0,76,0,8.44,
AD Mascarenhas,2008,Rajasthan Royals,1,24,4.0,29,2,7.25,12.0
AD Mascarenhas,2009,Rajasthan Royals,5,116,19.3,132,6,6.83,19.33
AD Mascarenhas,2010,Rajasthan Royals,2,48,8.0,65,4,8.13,12.0
AD Mascarenhas,2012,Kings XI Punjab,4,96,16.0,105,7,6.56,13.71
AD Mascarenhas,2013,Kings XI Punjab,1,24,4.0,25,0,6.25,
AD Mathews,2009,Kolkata Knight Riders,1,14,2.3,31,0,13.29,
AD Mathews,2010,Kolkata Knight Riders,12,225,37.5,314,8,8.37,28.13
AD Mathews,2012,Pune Warriors,9,156,26.0,192,7,7.38,22.29
AD Mathews,2013,Pune Warriors,10,186,31.0,240,5,7.74,37.2
AD Mathews,2015,Delhi Daredevils,10,180,30.0,246,7,8.2,25.71
AD Mathews,2017,Delhi Daredevils,2,30,5.0,56,0,11.2,
AD Russell,2012,Delhi Daredevils,4,96,16.0,161,1,10.06,96.0
AD Russell,2013,Delhi Daredevils,3,42,7.0,68,0,9.71,
AD Russell,2014,Kolkata Knight Riders,2,30,5.0,52,1,10.4,30.0
AD Russell,2015,Kolkata Knight Riders,13,244,40.7,324,14,7.97,17.43
AD Russell,2016,Kolkata Knight Riders,12,219,36.5,291,15,7.97,14.6
AD Russell,2018,Kolkata Knight Riders,15,227,37.8,355,13,9.38,17.46
AD Russell,2019,Kolkata Knight Riders,12,181,30.2,287,11,9.51,16.45
AD Russell,2020,Kolkata Knight Riders,7,108,18.0,175,6,9.72,18.0
AD Russell,2021,Kolkata Knight Riders,8,114,19.0,188,11,9.89,10.36
AD Russell,2022,Kolkata Knight Riders,13,169,28.2,278,17,9.87,9.94
AD Russell,2023,Kolkata Knight Riders,9,91,15.2,172,7,11.34,13.0
AD Russell,2024,Kolkata Knight Riders,14,176,29.3,295,19,10.06,9.26
AD Russell,2025,Kolkata Knight Riders,9,109,18.2,217,8,11.94,13.63
AF Milne,2016,Royal Challengers Bangalore,1,24,4.0,43,1,10.75,24.0
AF Milne,2017,Royal Challengers Bangalore,4,84,14.0,134,3,9.57,28.0
AF Milne,2021,Mumbai Indians,4,84,14.0,131,3,9.36,28.0
AF Milne,2022,Chennai Super Kings,1,15,2.5,19,0,7.6,
AG Murtaza,2010,Mumbai Indians,3,72,12.0,91,3,7.58,24.0
AG Murtaza,2011,Mumbai Indians,5,120,20.0,117,3,5.85,40.0
AG Murtaza,2012,Pune Warriors,1,12,2.0,11,0,5.5,
AG Murtaza,2013,Pune Warriors,3,60,10.0,94,3,9.4,20.0
AJ Finch,2010,Rajasthan Royals,1,7,1.2,5,0,4.29,
AJ Finch,2011,Delhi Daredevils,1,12,2.0,13,0,6.5,
AJ Finch,2013,Pune Warriors,3,24,4.0,49,1,12.25,24.0
AJ Hosein,2023,Sunrisers Hyderabad,1,24,4.0,40,1,10.0,24.0
AJ Tye,2017,Gujarat Lions,6,126,21.0,141,12,6.71,10.5
AJ Tye,2018,Kings XI Punjab,14,336,56.0,448,24,8.0,14.0
AJ Tye,2019,Kings XI Punjab,6,132,22.0,233,3,10.59,44.0
AJ Tye,2020,Rajasthan Royals,1,24,4.0,50,1,12.5,24.0
AJ Tye,2022,Lucknow Super Giants,3,66,11.0,107,2,9.73,33.0
AK Markram,2021,Punjab Kings,2,24,4.0,23,0,5.75,
AK Markram,2022,Sunrisers Hyderabad,4,36,6.0,64,1,10.67,36.0
AK Markram,2023,Sunrisers Hyderabad,6,49,8.2,70,1,8.57,49.0
AK Markram,2024,Sunrisers Hyderabad,2,12,2.0,15,0,7.5,
AK Markram,2025,Lucknow Super Giants,5,66,11.0,102,4,9.27,16.5
AL Menaria,2011,Rajasthan Royals,9,90,15.0,121,2,8.07,45.0
AL Menaria,2012,Rajasthan Royals,3,20,3.3,23,1,6.9,20.0
AM Nayar,2008,Mumbai Indians,5,42,7.0,68,1,9.71,42.0
AM Nayar,2009,Mumbai Indians,4,72,12.0,84,4,7.0,18.0
AM Nayar,2011,Kings XI Punjab,6,61,10.2,95,2,9.34,30.5
AM Nayar,2012,Kings XI Punjab,1,6,1.0,16,0,16.0,
AM Nayar,2013,Pune Warriors,3,48,8.0,59,2,7.38,24.0
AM Rahane,2009,Mumbai Indians,1,6,1.0,5,1,5.0,6.0
AM Salvi,2009,Delhi Daredevils,5,102,17.0,134,4,7.88,25.5
AM Salvi,2011,Delhi Daredevils,2,48,8.0,66,3,8.25,16.0
AN Ahmed,2010,Mumbai Indians,1,12,2.0,26,0,13.0,
AN Ahmed,2011,Mumbai Indians,6,120,20.0,169,5,8.45,24.0
AN Ahmed,2012,Mumbai Indians,1,12,2.0,17,0,8.5,
AN Ahmed,2013,Mumbai Indians,2,42,7.0,45,3,6.43,14.0
AN Ahmed,2014,Royal Challengers Bangalore,4,86,14.3,113,3,7.88,28.67
AN Ahmed,2015,Royal Challengers Bangalore,3,72,12.0,128,1,10.67,72.0
AP Dole,2010,Rajasthan Royals,3,66,11.0,112,5,10.18,13.2
AR Patel,2014,Kings XI Punjab,17,396,66.0,405,17,6.14,23.29
AR Patel,2015,Kings XI Punjab,14,280,46.7,392,13,8.4,21.54
AR Patel,2016,Kings XI Punjab,14,287,47.8,388,13,8.11,22.08
AR Patel,2017,Kings XI Punjab,14,288,48.0,362,15,7.54,19.2
AR Patel,2018,Kings XI Punjab,8,156,26.0,218,3,8.38,52.0
AR Patel,2019,Delhi Capitals,14,306,51.0,364,10,7.14,30.6
AR Patel,2020,Delhi Capitals,15,306,51.0,327,9,6.41,34.0
AR Patel,2021,Delhi Capitals,12,276,46.0,306,15,6.65,18.4
AR Patel,2022,Delhi Capitals,13,258,43.0,321,6,7.47,43.0
AR Patel,2023,Delhi Capitals,13,282,47.0,338,11,7.19,25.64
AR Patel,2024,Delhi Capitals,14,264,44.0,337,11,7.66,24.0
AR Patel,2025,Delhi Capitals,12,216,36.0,313,5,8.69,43.2
AS Joseph,2019,Mumbai Indians,3,52,8.7,87,6,10.04,8.67
AS Joseph,2022,Gujarat Titans,9,180,30.0,264,7,8.8,25.71
AS Joseph,2023,Gujarat Titans,7,144,24.0,225,7,9.38,20.57
AS Joseph,2024,Royal Challengers Bengaluru,3,58,9.7,115,1,11.9,58.0
AS Rajpoot,2013,Chennai Super Kings,2,24,4.0,35,1,8.75,24.0
AS Rajpoot,2016,Kolkata Knight Riders,4,66,11.0,98,3,8.91,22.0
AS Rajpoot,2017,Kolkata Knight Riders,5,84,14.0,107,4,7.64,21.0
AS Rajpoot,2018,Kings XI Punjab,8,157,26.2,223,11,8.52,14.27
AS Rajpoot,2019,Kings XI Punjab,4,96,16.0,152,3,9.5,32.0
AS Rajpoot,2020,Rajasthan Royals,6,102,17.0,199,2,11.71,51.0
AS Raut,2009,Rajasthan Royals,4,24,4.0,36,0,9.0,
AS Raut,2011,Rajasthan Royals,1,6,1.0,8,0,8.0,
AS Roy,2019,Mumbai Indians,1,12,2.0,11,1,5.5,12.0
AS Roy,2022,Kolkata Knight Riders,2,42,7.0,55,1,7.86,42.0
AS Roy,2023,Kolkata Knight Riders,3,48,8.0,65,3,8.13,16.0
AS Roy,2024,Kolkata Knight Riders,3,34,5.7,60,0,10.59,
AS Roy,2025,Kolkata Knight Riders,1,24,4.0,27,1,6.75,24.0
AU Rashid,2021,Punjab Kings,1,18,3.0,35,0,11.67,
AU Rashid,2023,Sunrisers Hyderabad,2,42,7.0,56,2,8.0,21.0
AUK Pathan,2011,Royal Challengers Bangalore,2,33,5.5,49,0,8.91,
AUK Pathan,2012,Royal Challengers Bangalore,1,6,1.0,14,0,14.0,
Abdul Samad,2020,Sunrisers Hyderabad,3,42,7.0,96,1,13.71,42.0
Abdul Samad,2021,Sunrisers Hyderabad,1,6,1.0,9,1,9.0,6.0
Abdul Samad,2022,Sunrisers Hyderabad,1,6,1.0,8,0,8.0,
Abdul Samad,2025,Lucknow Super Giants,1,2,0.3,6,0,18.0,
Abdur Razzak,2008,Royal Challengers Bangalore,1,12,2.0,29,0,14.5,
Abhishek Sharma,2019,Sunrisers Hyderabad,2,12,2.0,21,1,10.5,12.0
Abhishek Sharma,2020,Sunrisers Hyderabad,6,60,10.0,91,2,9.1,30.0
Abhishek Sharma,2021,Sunrisers Hyderabad,6,60,10.0,64,4,6.4,15.0
Abhishek Sharma,2022,Sunrisers Hyderabad,3,24,4.0,38,0,9.5,
Abhishek Sharma,2023,Sunrisers Hyderabad,5,72,12.0,124,2,10.33,36.0
Abhishek Sharma,2024,Sunrisers Hyderabad,4,42,7.0,51,2,7.29,21.0
Abhishek Sharma,2025,Sunrisers Hyderabad,6,66,11.0,112,0,10.18,
Akash Deep,2022,Royal Challengers Bangalore,5,113,18.8,205,5,10.88,22.6
Akash Deep,2023,Royal Challengers Bangalore,2,30,5.0,59,1,11.8,30.0
Akash Deep,2024,Royal Challengers Bengaluru,1,21,3.5,55,1,15.71,21.0
Akash Deep,2025,Lucknow Super Giants,6,114,19.0,229,3,12.05,38.0
Akash Madhwal,2023,Mumbai Indians,8,153,25.5,219,15,8.59,10.2
Akash Madhwal,2024,Mumbai Indians,5,109,18.2,205,5,11.28,21.8
Akash Madhwal,2025,Rajasthan Royals,4,90,15.0,166,4,11.07,22.5
Akash Singh,2021,Rajasthan Royals,1,24,4.0,39,0,9.75,
Akash Singh,2023,Chennai Super Kings,6,114,19.0,188,5,9.89,22.8
Akash Singh,2025,Lucknow Super Giants,3,67,11.2,99,4,8.87,16.75
Aman Hakim Khan,2022,Kolkata Knight Riders,1,6,1.0,13,0,13.0,
Anand Rajan,2011,Deccan Chargers,2,30,5.0,50,3,10.0,10.0
Anand Rajan,2012,Deccan Chargers,4,71,11.8,109,3,9.21,23.67
Anand Rajan,2013,Sunrisers Hyderabad,2,48,8.0,42,2,5.25,24.0
Ankit Sharma,2012,Deccan Chargers,9,145,24.2,165,4,6.83,36.25
Ankit Sharma,2013,Sunrisers Hyderabad,1,12,2.0,17,0,8.5,
Ankit Sharma,2014,Rajasthan Royals,2,48,8.0,43,4,5.38,12.0
Ankit Sharma,2015,Rajasthan Royals,4,84,14.0,114,3,8.14,28.0
Ankit Sharma,2016,Rising Pune Supergiants,3,66,11.0,84,1,7.64,66.0
Ankit Sharma,2017,Rising Pune Supergiant,1,6,1.0,16,0,16.0,
Ankit Sharma,2018,Rajasthan Royals,1,6,1.0,11,0,11.0,
Ankit Soni,2017,Gujarat Lions,6,109,18.2,144,2,7.93,54.5
Anureet Singh,2009,Kolkata Knight Riders,2,30,5.0,47,2,9.4,15.0
Anureet Singh,2015,Kings XI Punjab,14,310,51.7,465,15,9.0,20.67
Anureet Singh,2016,Kings XI Punjab,2,36,6.0,43,0,7.17,
Anureet Singh,2017,Kings XI Punjab,1,12,2.0,26,0,13.0,
Anureet Singh,2018,Rajasthan Royals,3,24,4.0,42,1,10.5,24.0
Arjun Tendulkar,2023,Mumbai Indians,4,59,9.8,92,3,9.36,19.67
Arjun Tendulkar,2024,Mumbai Indians,1,14,2.3,22,0,9.43,
Arshad Khan,2023,Mumbai Indians,6,85,14.2,190,5,13.41,17.0
Arshad Khan,2024,Lucknow Super Giants,3,49,8.2,90,1,11.02,49.0
Arshad Khan,2025,Gujarat Titans,9,126,21.0,217,6,10.33,21.0
Arshad Khan (2),2024,Lucknow Super Giants,1,12,2.0,24,0,12.0,
Arshdeep Singh,2019,Kings XI Punjab,3,60,10.0,109,3,10.9,20.0
Arshdeep Singh,2020,Kings XI Punjab,8,149,24.8,218,9,8.78,16.56
Arshdeep Singh,2021,Punjab Kings,12,248,41.3,342,18,8.27,13.78
Arshdeep Singh,2022,Punjab Kings,14,300,50.0,385,10,7.7,30.0
Arshdeep Singh,2023,Punjab Kings,14,305,50.8,493,17,9.7,17.94
Arshdeep Singh,2024,Punjab Kings,14,302,50.3,505,19,10.03,15.89
Arshdeep Singh,2025,Punjab Kings,16,350,58.3,518,21,8.88,16.67
Ashwani Kumar,2025,Mumbai Indians,7,123,20.5,232,11,11.32,11.18
Atharva Taide,2024,Punjab Kings,1,1,0.2,4,0,24.0,
Avesh Khan,2017,Royal Challengers Bangalore,1,24,4.0,23,1,5.75,24.0
Avesh Khan,2018,Delhi Daredevils,6,114,19.0,204,4,10.74,28.5
Avesh Khan,2019,Delhi Capitals,1,18,3.0,30,0,10.0,
Avesh Khan,2020,Delhi Capitals,1,24,4.0,42,0,10.5,
Avesh Khan,2021,Delhi Capitals,16,366,61.0,450,24,7.38,15.25
Avesh Khan,2022,Lucknow Super Giants,13,286,47.7,416,19,8.73,15.05
Avesh Khan,2023,Lucknow Super Giants,9,174,29.0,283,8,9.76,21.75
Avesh Khan,2024,Rajasthan Royals,15,329,54.8,526,19,9.59,17.32
Avesh Khan,2025,Lucknow Super Giants,13,284,47.3,487,13,10.29,21.85
Azhar Mahmood,2012,Kings XI Punjab,11,256,42.7,329,14,7.71,18.29
Azhar Mahmood,2013,Kings XI Punjab,11,263,43.8,330,15,7.53,17.53
Azhar Mahmood,2015,Kolkata Knight Riders,1,18,3.0,41,0,13.67,
Azmatullah Omarzai,2024,Gujarat Titans,7,126,21.0,186,4,8.86,31.5
Azmatullah Omarzai,2025,Punjab Kings,8,162,27.0,279,8,10.33,20.25
B Akhil,2008,Royal Challengers Bangalore,6,104,17.3,134,2,7.73,52.0
B Akhil,2009,Royal Challengers Bangalore,5,66,11.0,80,4,7.27,16.5
B Akhil,2010,Royal Challengers Bangalore,1,6,1.0,6,0,6.0,
B Akhil,2011,Kochi Tuskers Kerala,1,12,2.0,22,0,11.0,
B Chipli,2011,Deccan Chargers,1,6,1.0,20,0,20.0,
B Geeves,2008,Delhi Daredevils,2,48,8.0,91,1,11.38,48.0
B Kumar,2011,Pune Warriors,4,66,11.0,67,3,6.09,22.0
B Kumar,2012,Pune Warriors,11,234,39.0,281,8,7.21,29.25
B Kumar,2013,Pune Warriors,16,342,57.0,371,13,6.51,26.31
B Kumar,2014,Sunrisers Hyderabad,14,319,53.2,354,20,6.66,15.95
B Kumar,2015,Sunrisers Hyderabad,14,310,51.7,407,18,7.88,17.22
B Kumar,2016,Sunrisers Hyderabad,17,396,66.0,490,23,7.42,17.22
B Kumar,2017,Sunrisers Hyderabad,14,314,52.3,369,26,7.05,12.08
B Kumar,2018,Sunrisers Hyderabad,12,277,46.2,354,9,7.67,30.78
B Kumar,2019,Sunrisers Hyderabad,15,354,59.0,461,13,7.81,27.23
B Kumar,2020,Sunrisers Hyderabad,4,85,14.2,99,3,6.99,28.33
B Kumar,2021,Sunrisers Hyderabad,11,252,42.0,335,6,7.98,42.0
B Kumar,2022,Sunrisers Hyderabad,14,313,52.2,383,12,7.34,26.08
B Kumar,2023,Sunrisers Hyderabad,14,306,51.0,425,16,8.33,19.13
B Kumar,2024,Sunrisers Hyderabad,16,342,57.0,533,11,9.35,31.09
B Kumar,2025,Royal Challengers Bengaluru,14,312,52.0,483,17,9.29,18.35
B Laughlin,2013,Chennai Super Kings,2,42,7.0,71,1,10.14,42.0
B Laughlin,2018,Rajasthan Royals,7,126,21.0,211,9,10.05,14.0
B Lee,2008,Kings XI Punjab,4,96,16.0,112,4,7.0,24.0
B Lee,2009,Kings XI Punjab,5,120,20.0,111,5,5.55,24.0
B Lee,2010,Kings XI Punjab,4,87,14.5,149,0,10.28,
B Lee,2011,Kolkata Knight Riders,12,272,45.3,338,5,7.46,54.4
B Lee,2012,Kolkata Knight Riders,10,228,38.0,299,7,7.87,32.57
B Lee,2013,Kolkata Knight Riders,3,72,12.0,86,4,7.17,18.0
B Stanlake,2017,Royal Challengers Bangalore,2,48,8.0,70,2,8.75,24.0
B Stanlake,2018,Sunrisers Hyderabad,4,96,16.0,130,5,8.13,19.2
BA Bhatt,2011,Kings XI Punjab,8,167,27.8,229,9,8.23,18.56
BA Bhatt,2012,Kings XI Punjab,5,99,16.5,136,2,8.24,49.5
BA Bhatt,2013,Kings XI Punjab,2,30,5.0,32,1,6.4,30.0
BA Stokes,2017,Rising Pune Supergiant,12,264,44.0,316,12,7.18,22.0
BA Stokes,2018,Rajasthan Royals,12,222,37.0,303,8,8.19,27.75
BA Stokes,2019,Rajasthan Royals,6,101,16.8,189,6,11.23,16.83
BA Stokes,2020,Rajasthan Royals,6,90,15.0,154,2,10.27,45.0
BA Stokes,2021,Rajasthan Royals,1,6,1.0,12,0,12.0,
BA Stokes,2023,Chennai Super Kings,1,6,1.0,18,0,18.0,
BAW Mendis,2008,Kolkata Knight Riders,1,24,4.0,24,1,6.0,24.0
BAW Mendis,2009,Kolkata Knight Riders,4,96,16.0,117,3,7.31,32.0
BAW Mendis,2010,Kolkata Knight Riders,2,48,8.0,66,2,8.25,24.0
BAW Mendis,2013,Pune Warriors,3,72,12.0,78,2,6.5,36.0
BB Sran,2015,Rajasthan Royals,1,18,3.0,35,0,11.67,
BB Sran,2016,Sunrisers Hyderabad,14,297,49.5,413,14,8.34,21.21
BB Sran,2017,Sunrisers Hyderabad,1,12,2.0,29,0,14.5,
BB Sran,2018,Kings XI Punjab,6,132,22.0,229,4,10.41,33.0
BB Sran,2019,Mumbai Indians,2,24,4.0,51,0,12.75,
BCJ Cutting,2014,Rajasthan Royals,1,24,4.0,31,1,7.75,24.0
BCJ Cutting,2016,Sunrisers Hyderabad,4,67,11.2,80,5,7.16,13.4
BCJ Cutting,2017,Sunrisers Hyderabad,4,76,12.7,123,1,9.71,76.0
BCJ Cutting,2018,Mumbai Indians,7,102,17.0,168,2,9.88,51.0
BCJ Cutting,2019,Mumbai Indians,1,12,2.0,27,1,13.5,12.0
BE Hendricks,2014,Kings XI Punjab,3,72,12.0,126,4,10.5,18.0
BE Hendricks,2015,Kings XI Punjab,4,78,13.0,109,5,8.38,15.6
BJ Hodge,2009,Kolkata Knight Riders,9,120,20.0,161,7,8.05,17.14
BJ Hodge,2010,Kolkata Knight Riders,4,30,5.0,41,2,8.2,15.0
BJ Hodge,2011,Kochi Tuskers Kerala,4,66,11.0,77,7,7.0,9.43
BJ Hodge,2012,Rajasthan Royals,2,12,2.0,21,1,10.5,12.0
BJ Hodge,2013,Rajasthan Royals,1,6,1.0,3,0,3.0,
BJ Rohrer,2013,Delhi Daredevils,1,6,1.0,12,0,12.0,
BMAJ Mendis,2013,Delhi Daredevils,2,30,5.0,36,1,7.2,30.0
BW Hilfenhaus,2012,Chennai Super Kings,9,204,34.0,233,14,6.85,14.57
BW Hilfenhaus,2014,Chennai Super Kings,8,168,28.0,246,8,8.79,21.0
Basil Thampi,2017,Gujarat Lions,12,268,44.7,424,11,9.49,24.36
Basil Thampi,2018,Sunrisers Hyderabad,4,61,10.2,114,5,11.21,12.2
Basil Thampi,2019,Sunrisers Hyderabad,3,72,12.0,110,0,9.17,
Basil Thampi,2020,Sunrisers Hyderabad,1,24,4.0,46,1,11.5,24.0
Basil Thampi,2022,Mumbai Indians,5,96,16.0,152,5,9.5,19.2
Bipul Sharma,2010,Kings XI Punjab,4,60,10.0,94,3,9.4,20.0
Bipul Sharma,2011,Kings XI Punjab,4,72,12.0,78,4,6.5,18.0
Bipul Sharma,2012,Kings XI Punjab,3,46,7.7,79,0,10.3,
Bipul Sharma,2013,Kings XI Punjab,1,24,4.0,21,1,5.25,24.0
Bipul Sharma,2015,Sunrisers Hyderabad,3,42,7.0,50,3,7.14,14.0
Bipul Sharma,2016,Sunrisers Hyderabad,6,84,14.0,121,3,8.64,28.0
Bipul Sharma,2017,Sunrisers Hyderabad,7,98,16.3,129,3,7.9,32.67
C Bosch,2025,Mumbai Indians,2,42,7.0,55,1,7.86,42.0
C Ganapathy,2010,Chennai Super Kings,1,6,1.0,13,0,13.0,
C Green,2023,Mumbai Indians,16,228,38.0,361,6,9.5,38.0
C Green,2024,Royal Challengers Bengaluru,13,211,35.2,303,10,8.62,21.1
C Munro,2016,Kolkata Knight Riders,2,12,2.0,15,0,7.5,
C Nanda,2009,Mumbai Indians,3,48,8.0,57,2,7.13,24.0
C Sakariya,2021,Rajasthan Royals,14,312,52.0,426,14,8.19,22.29
C Sakariya,2022,Delhi Capitals,3,66,11.0,84,3,7.64,22.0
C Sakariya,2023,Delhi Capitals,2,48,8.0,89,3,11.13,16.0
C Sakariya,2025,Kolkata Knight Riders,1,18,3.0,39,0,13.0,
C de Grandhomme,2017,Kolkata Knight Riders,9,96,16.0,135,4,8.44,24.0
C de Grandhomme,2018,Royal Challengers Bangalore,7,90,15.0,129,2,8.6,45.0
C de Grandhomme,2019,Royal Challengers Bangalore,3,30,5.0,55,0,11.0,
CH Gayle,2009,Kolkata Knight Riders,7,113,18.8,144,1,7.65,113.0
CH Gayle,2010,Kolkata Knight Riders,6,96,16.0,152,4,9.5,24.0
CH Gayle,2011,Royal Challengers Bangalore,12,216,36.0,244,8,6.78,27.0
CH Gayle,2012,Royal Challengers Bangalore,3,28,4.7,66,0,14.14,
CH Gayle,2013,Royal Challengers Bangalore,4,24,4.0,40,3,10.0,8.0
CH Gayle,2015,Royal Challengers Bangalore,1,12,2.0,15,0,7.5,
CH Gayle,2016,Royal Challengers Bangalore,4,60,10.0,63,2,6.3,30.0
CH Gayle,2020,Kings XI Punjab,1,5,0.8,5,0,6.0,
CH Morris,2013,Chennai Super Kings,16,300,50.0,401,15,8.02,20.0
CH Morris,2015,Rajasthan Royals,11,252,42.0,311,13,7.4,19.38
CH Morris,2016,Delhi Daredevils,12,264,44.0,308,13,7.0,20.31
CH Morris,2017,Delhi Daredevils,9,186,31.0,240,12,7.74,15.5
CH Morris,2018,Delhi Daredevils,4,84,14.0,143,3,10.21,28.0
CH Morris,2019,Delhi Capitals,9,198,33.0,306,13,9.27,15.23
CH Morris,2020,Royal Challengers Bangalore,9,190,31.7,210,11,6.63,17.27
CH Morris,2021,Rajasthan Royals,11,246,41.0,376,15,9.17,16.4
CJ Anderson,2014,Mumbai Indians,9,108,18.0,184,4,10.22,27.0
CJ Anderson,2015,Mumbai Indians,2,24,4.0,33,1,8.25,24.0
CJ Anderson,2017,Delhi Daredevils,8,113,18.8,186,3,9.88,37.67
CJ Anderson,2018,Royal Challengers Bangalore,3,52,8.7,115,3,13.27,17.33
CJ Dala,2018,Delhi Daredevils,1,18,3.0,34,0,11.33,
