bowler,season,bowling_team,matches,balls_bowled,overs_bowled,runs_given,wickets,economy_rate,bowling_average
UT Yadav,2018,Royal Challengers Bangalore,14,319,53.2,418,20,7.86,15.95
UT Yadav,2019,Royal Challengers Bangalore,11,227,37.8,371,8,9.81,28.38
UT Yadav,2020,Royal Challengers Bangalore,2,42,7.0,83,0,11.86,
UT Yadav,2022,Kolkata Knight Riders,12,288,48.0,339,16,7.06,18.0
UT Yadav,2023,Kolkata Knight Riders,8,114,19.0,189,1,9.95,114.0
UT Yadav,2024,Gujarat Titans,7,126,21.0,210,8,10.0,15.75
Umar Gul,2008,Kolkata Knight Riders,6,135,22.5,184,12,8.18,11.25
Umran Malik,2021,Sunrisers Hyderabad,3,72,12.0,96,2,8.0,36.0
Umran Malik,2022,Sunrisers Hyderabad,14,295,49.2,444,22,9.03,13.41
Umran Malik,2023,Sunrisers Hyderabad,8,120,20.0,217,5,10.85,24.0
Umran Malik,2024,Sunrisers Hyderabad,1,6,1.0,15,0,15.0,
V Kaverappa,2024,Punjab Kings,1,24,4.0,36,2,9.0,12.0
V Kohli,2008,Royal Challengers Bangalore,4,46,7.7,61,2,7.96,23.0
V Kohli,2009,Royal Challengers Bangalore,3,36,6.0,46,0,7.67,
V Kohli,2010,Royal Challengers Bangalore,4,32,5.3,50,0,9.38,
V Kohli,2011,Royal Challengers Bangalore,10,102,17.0,139,2,8.18,51.0
V Kohli,2012,Royal Challengers Bangalore,2,18,3.0,49,0,16.33,
V Kohli,2015,Royal Challengers Bangalore,2,11,1.8,10,0,5.45,
V Kohli,2016,Royal Challengers Bangalore,1,6,1.0,13,0,13.0,
V Nigam,2025,Delhi Capitals,13,234,39.0,356,11,9.13,21.27
V Pratap Singh,2012,Deccan Chargers,9,204,34.0,296,10,8.71,20.4
V Puthur,2025,Mumbai Indians,5,72,12.0,109,6,9.08,12.0
V Sehwag,2008,Delhi Daredevils,7,66,11.0,133,3,12.09,22.0
V Sehwag,2009,Delhi Daredevils,1,6,1.0,25,0,25.0,
V Sehwag,2010,Delhi Daredevils,3,34,5.7,23,3,4.06,11.33
V Sehwag,2012,Delhi Daredevils,3,24,4.0,45,0,11.25,
V Sehwag,2013,Delhi Daredevils,1,6,1.0,9,0,9.0,
V Shankar,2014,Chennai Super Kings,1,6,1.0,19,0,19.0,
V Shankar,2018,Delhi Daredevils,4,30,5.0,58,1,11.6,30.0
V Shankar,2019,Sunrisers Hyderabad,5,48,8.0,70,1,8.75,48.0
V Shankar,2020,Sunrisers Hyderabad,5,79,13.2,82,4,6.23,19.75
V Shankar,2021,Sunrisers Hyderabad,5,66,11.0,100,3,9.09,22.0
V Shankar,2022,Gujarat Titans,2,9,1.5,15,0,10.0,
V Viyaskanth,2024,Sunrisers Hyderabad,3,60,10.0,86,1,8.6,60.0
VG Arora,2022,Punjab Kings,5,107,17.8,164,3,9.2,35.67
VG Arora,2023,Kolkata Knight Riders,5,96,16.0,146,5,9.13,19.2
VG Arora,2024,Kolkata Knight Riders,10,180,30.0,276,11,9.2,16.36
VG Arora,2025,Kolkata Knight Riders,12,255,42.5,430,17,10.12,15.0
VR Aaron,2011,Delhi Daredevils,3,72,12.0,82,2,6.83,36.0
VR Aaron,2012,Delhi Daredevils,8,186,31.0,271,8,8.74,23.25
VR Aaron,2014,Royal Challengers Bangalore,10,220,36.7,299,16,8.15,13.75
VR Aaron,2015,Royal Challengers Bangalore,5,104,17.3,177,3,10.21,34.67
VR Aaron,2016,Royal Challengers Bangalore,8,142,23.7,227,2,9.59,71.0
VR Aaron,2017,Kings XI Punjab,6,120,20.0,163,7,8.15,17.14
VR Aaron,2019,Rajasthan Royals,5,72,12.0,116,4,9.67,18.0
VR Aaron,2020,Rajasthan Royals,3,48,8.0,94,0,11.75,
VR Aaron,2022,Gujarat Titans,2,30,5.0,52,2,10.4,15.0
VR Iyer,2021,Kolkata Knight Riders,4,51,8.5,69,3,8.12,17.0
VR Iyer,2022,Kolkata Knight Riders,4,24,4.0,46,0,11.5,
VR Iyer,2024,Kolkata Knight Riders,1,6,1.0,28,0,28.0,
VRV Singh,2008,Kings XI Punjab,13,288,48.0,420,11,8.75,26.18
VRV Singh,2009,Kings XI Punjab,4,54,9.0,82,1,9.11,54.0
VRV Singh,2010,Kings XI Punjab,1,18,3.0,40,0,13.33,
VS Malik,2009,Kings XI Punjab,5,72,12.0,98,2,8.17,36.0
VS Malik,2010,Kings XI Punjab,3,43,7.2,62,1,8.65,43.0
VS Malik,2011,Kings XI Punjab,1,12,2.0,13,0,6.5,
VS Malik,2013,Rajasthan Royals,3,60,10.0,59,2,5.9,30.0
VS Malik,2014,Rajasthan Royals,1,18,3.0,29,1,9.67,18.0
VS Yeligati,2008,Mumbai Indians,2,30,5.0,59,0,11.8,
VY Mahesh,2008,Delhi Daredevils,11,253,42.2,370,16,8.77,15.81
VY Mahesh,2009,Delhi Daredevils,1,12,2.0,25,1,12.5,12.0
VY Mahesh,2010,Delhi Daredevils,1,18,3.0,23,1,7.67,18.0
VY Mahesh,2012,Chennai Super Kings,4,56,9.3,81,3,8.68,18.67
Vijaykumar Vyshak,2023,Royal Challengers Bangalore,7,144,24.0,253,9,10.54,16.0
Vijaykumar Vyshak,2024,Royal Challengers Bengaluru,4,87,14.5,142,4,9.79,21.75
Vijaykumar Vyshak,2025,Punjab Kings,5,102,17.0,181,4,10.65,25.5
Vivrant Sharma,2023,Sunrisers Hyderabad,2,18,3.0,37,0,12.33,
